CODICE UNIVOCO GIORNALISTA;NOME;COGNOME;NICKNAME
748;FABRIZIO;TONELLO;
749;EMANUELE;TREVI;
750;ANTONIO;TRICARICO;
751;VINCENZO;VITA;
752;EDOARDO;ZANCHINI;
753;MASSIMO;FRANCHI;
754;CARLO;LANIA;
755;TOMMASO;DI FRANCESCO;
756;ELEONORA;MARTINI;
757;MICHELE;GIORGIO;
758;CRISTINA;PICCINO;
759;GIANSANDRO;MERLI;
760;ADRIANA;POLLICE;
761;NORMA;RANGERI;
762;GIULIANO;SANTORO;
763;;;
764;SIMONE;ALLIVA;
765;CARLO;COTTARELLI;
766;FRANCESCO;BARRA;
767;CLAUDIA;SORLINI;
768;VIRMAN;CUSENZA;
769;FABRIZIO;BARCA;
770;ENRICO ;GIOVANNINI;
771;RAY;BANHOFF;
772;NICOLAS;BALLARIO;
773;OLIVIERO;TOSCANI;
774;SERGIO;RIZZO;
775;GIANFRANCO;TURANO;
776;GLORIA;RIVA;
777;MASSIMO;CACCIARI;
778;MASSIMILIANO;PANANARI;
779;ALBERTO;BRUSCHINI;
780;NICOLA;GRAZIANO;
781;PAOLO;SIANI;
782;FABIO;FERZETTI;
783;GINO;CASTALDO;
784;;;
785;PAOLO;MASTROLILLI;
786;FABIO;MARTINI;
787;FLAVIA;AMABILE;
788;LUCIA;ANNUNZIATA;
789;MARCO;ANSALDO;
790;RICCARDO;BARENGHI;
791;ROBERTO;BECCANTINI;
792;ENZO;BETTIZA;
793;PIERO;BIANUCCI;
794;ALBERTO;BISIN;
795;FRANCO;BRUNI;
796;MIMMO;CÀNDITO;
797;ALESSANDRA;COMAZZI;
798;GUIDO;CERONETTI;
799;MARIA;CORBI;
800;MAURIZIO;CUCCHI;
801;MARIO;DEAGLIO;
802;FABRIZIO;FERRARI;
803;MATTIA;FELTRI;
804;PAOLO;GALLARATI;
805;FRANCO;GARELLI;
806;FEDERICO;GEREMICCA;
807;MASSIMO;GRAMELLINI;
808;CARLO;FEDERICO GROSSO;
809;JACOPO;IACOBONI;
810;FRANCESCO;LA LICATA;
811;LUIGI;LA SPINA;
812;STEFANO;LEPRI;
813;BERNARD-HENRI;LÉVY;
814;CESARE;MARTINETTI;
815;ANNA;MASERA;
816;MARIA TERESA ;MELI;
817;MAURIZIO;MOLINARI;
818;ALBERTO;MATTIOLI;
819;GIANLUCA;NICOLETTI;
820;EMANUELE;NOVAZIO;
821;FRANCESCA;PACI;
822;VITTORIO EMANUELE;PARSI;
823;WALTER;PASSERINI;
824;FLAVIA;PERINA;
825;GIORGIO;PESTELLI;
826;DOMENICO;QUIRICO;
827;ANTONELLA;RAMPINO;
828;CARLA;RESCHIA;
829;LUCA;RICOLFI;
830;GIAN ENRICO;RUSCONI;
831;LINDA LAURA;SABBADINI;
832;CLAUDIO;SABELLI FIORETTI;
833;FABIO;SCUTO;
834;MARCELLO;SORGI;
835;LORENZO;SORIA;
836;GIORDANO;STABILE;
837;FEDERICO;VARESE;
838;;;
839;X;;
840;;;
841;Y;;
842;;;
843;Z;;
844;;;
845;NICOLA;PINNA;
846;SIMONA;ANTONUCCI;
847;NIKI;BARBATI;
848;SALVATORE;D'AMELIO;
849;RUGGERO;GUARINI;
850;FABIO;ISMAN;
